City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
547,Chabahar,IR,83.1,clear sky,25.29,60.64,هتل گدروشیا
552,Yichun,CN,83.79,clear sky,47.7,128.9,锦江酒店
553,Matiari,PK,86.0,haze,25.6,68.45,Al asif hedri
555,Lamu,KE,77.02,overcast clouds,-2.27,40.9,Lamu House
556,Mayo,US,80.6,few clouds,38.89,-76.51,Resorts Resource Group International
564,Komsomolskiy,UZ,77.0,clear sky,40.43,71.72,Ikathouse
566,Cabanas,CU,77.0,scattered clouds,22.98,-82.92,Villa Luis Montesino y Anabel
569,Ternate,ID,80.04,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
571,Vanimo,PG,85.26,few clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
573,Zhangjiakou,CN,75.81,clear sky,40.81,114.88,Shell Zhangjiakou City Qiaodong District Ginza Hotel
