,City,Lat,Lng,Max Temp,Min Temp,Current Description,Humidity,Cloudiness,Wind Speed,Rain (inches),Snow (inches),Country
87,Te Anau,-45.42,167.72,44.55,44.55,few clouds,73,14,0.6,0.0,0,NZ
88,Puerto Ayora,-0.74,-90.35,66.99,66.99,broken clouds,96,72,6.04,0.0,0,EC
89,Riyadh,24.69,46.72,93.2,93.2,clear sky,18,0,4.7,0.0,0,SA
90,Husavik,66.04,-17.34,50.0,50.0,mist,93,90,5.82,0.0,0,IS
91,Tasiilaq,65.61,-37.64,42.8,42.8,scattered clouds,81,27,2.24,0.0,0,GL
92,Kirkwall,58.98,-2.96,50.0,50.0,scattered clouds,93,50,1.12,0.0,0,GB
93,Sovetskiy,61.36,63.58,70.63,70.63,broken clouds,83,78,7.36,0.0,0,RU
94,Bengkulu,-3.8,102.27,78.28,78.28,overcast clouds,71,100,3.51,0.0,0,ID
95,Arraial Do Cabo,-22.97,-42.03,71.6,71.6,broken clouds,78,75,8.05,0.0,0,BR
96,Bluff,-46.6,168.33,47.57,47.57,clear sky,76,0,11.39,0.0,0,NZ
97,Klaksvik,62.23,-6.59,50.0,50.0,overcast clouds,93,100,3.36,0.0,0,FO
98,Grandola,38.18,-8.57,63.0,63.0,clear sky,89,0,4.0,0.0,0,PT
99,Bambanglipuro,-7.95,110.28,79.3,79.3,overcast clouds,79,100,6.31,0.0,0,ID
100,Leningradskiy,69.38,178.42,42.19,42.19,overcast clouds,79,100,15.05,0.0,0,RU
101,Hue,16.47,107.6,86.0,86.0,clear sky,70,7,2.24,0.0,0,VN
102,Fortuna,40.6,-124.16,64.99,60.8,few clouds,72,20,12.75,0.0,0,US
103,Saint-Philippe,-21.36,55.77,68.0,55.99,clear sky,72,10,8.05,0.0,0,RE
104,Saint-Joseph,-21.37,55.62,68.0,55.99,clear sky,72,1,8.05,0.0,0,RE
105,San Javier,37.81,-0.84,73.4,73.0,overcast clouds,83,100,5.82,0.0,0,ES
106,Nouadhibou,20.93,-17.03,68.0,68.0,broken clouds,82,75,21.92,0.0,0,MR
107,Talnakh,69.49,88.4,50.0,50.0,overcast clouds,100,90,11.18,0.0,0,RU
108,Matara,5.95,80.54,79.77,79.77,light rain,88,62,9.33,0.41,0,LK
109,Port Lincoln,-34.73,135.87,57.29,57.29,clear sky,52,0,18.9,0.0,0,AU
110,Macapa,0.04,-51.07,84.2,84.2,clear sky,79,2,4.7,0.0,0,BR
111,Sao Gabriel Da Cachoeira,-0.13,-67.09,73.78,73.78,broken clouds,93,64,1.16,0.0,0,BR
112,Nivala,63.92,24.97,46.0,46.0,few clouds,95,13,1.88,0.0,0,FI
113,Dovolnoye,54.5,79.67,61.3,61.3,clear sky,76,0,10.89,0.0,0,RU
114,Saint-Louis,16.33,-15.0,78.8,78.8,few clouds,74,16,2.24,0.0,0,SN
115,Upernavik,72.79,-56.15,42.46,42.46,overcast clouds,82,100,10.31,0.0,0,GL
116,Tuktoyaktuk,69.45,-133.04,57.2,57.2,scattered clouds,71,40,11.41,0.0,0,CA
117,Barrow,71.29,-156.79,39.2,39.2,broken clouds,80,75,12.75,0.0,0,US
118,Tuatapere,-46.13,167.68,48.0,48.0,clear sky,71,1,5.66,0.0,0,NZ
119,Puri,19.8,85.85,80.6,80.6,haze,94,40,2.24,0.0,0,IN
120,Coihaique,-45.58,-72.07,30.2,30.2,broken clouds,92,64,2.24,0.0,0,CL
121,Romny,50.75,33.47,54.61,54.61,light rain,93,100,13.8,0.18,0,UA
122,Guerrero Negro,27.98,-114.06,73.24,73.24,clear sky,68,0,19.37,0.0,0,MX
